寄送日期,廠商名稱,Email,狀態,來源公會,備註
2026-05-07,頂智股份有限公司,dingjyh@ms27.hinet.net,已寄送,台灣區絲織工業同業公會,
2026-05-07,華中商標織造股份有限公司,oneil@hwajong.com.tw,已寄送,台灣區絲織工業同業公會,
2026-05-07,全有織造廠股份有限公司,chunyuco@ms36.hinet.net,已寄送,台灣區絲織工業同業公會,
2026-05-07,唯聖紡織股份有限公司,wayson.co@gmail.com,已寄送,台灣區絲織工業同業公會,
2026-05-07,威至有限公司,cindy@weiink.com,已寄送,台灣區絲織工業同業公會,
2026-05-07,大成刺繡股份有限公司,tacherng@embroidery.com.tw,已寄送,台灣區絲織工業同業公會,
2026-05-07,和友紡織股份有限公司,hoyu@hoyu.com.tw,已寄送,台灣區絲織工業同業公會,
2026-05-07,光明絲織廠股份有限公司,kwmgco@ms35.hinet.net,已寄送,台灣區絲織工業同業公會,
2026-05-07,大宇紡織股份有限公司,sales@universal-tex.com,已寄送,台灣區絲織工業同業公會,
2026-05-07,台灣富綢纖維股份有限公司,kj@ttfco.com,已寄送,台灣區絲織工業同業公會,
2026-05-07,力鵬企業股份有限公司,marketing@libolon.com,已寄送,台灣區絲織工業同業公會,
2026-05-07,偉全實業股份有限公司,service@wisher.com.tw,已寄送,台灣區絲織工業同業公會,
2026-05-07,國紡企業股份有限公司,sale@lovetex.com.tw,已寄送,台灣區絲織工業同業公會,
2026-05-07,錦隆製線廠有限公司,gim.long0901@gmail.com,已寄送,台灣區絲織工業同業公會,
2026-05-07,崇鑫實業股份有限公司,sale01@zongsine.com.tw,已寄送,台灣區絲織工業同業公會,
2026-05-07,日禎紡織企業股份有限公司,sun.a168@msa.hinet.net,已寄送,台灣區絲織工業同業公會,
2026-05-07,隆億紡織股份有限公司,lungyick@yahoo.com.tw,已寄送,台灣區絲織工業同業公會,
2026-05-07,立達興股份有限公司,eugene@racotextile.com,已寄送,台灣區絲織工業同業公會,
2026-05-07,力泰國際股份有限公司,service@rithai.com,已寄送,台灣區絲織工業同業公會,
2026-05-07,得泰紡織有限公司,der.tai.textile@gmail.com,已寄送,台灣區絲織工業同業公會,
2026-05-07,景蘭紡織有限公司,,未寄送：無 Email,台灣區絲織工業同業公會,
2026-05-07,春茂實業股份有限公司,,未寄送：無 Email,台灣區絲織工業同業公會,
2026-05-07,新光紡織股份有限公司,,未寄送：無 Email,台灣區絲織工業同業公會,
2026-05-07,潤泰全球股份有限公司,,未寄送：無 Email,台灣區絲織工業同業公會,
2026-05-07,松綺股份有限公司,,未寄送：無 Email,台灣區絲織工業同業公會,
2026-05-08,中榮紡織股份有限公司,mono.tec@msa.hinet.net,已寄送,紡織廠商,
2026-05-08,吉信織造廠股份有限公司,,未寄送：無 Email,紡織廠商,
2026-05-08,銘朗實業有限公司,tony@minlan.com.tw,已寄送,紡織廠商,
2026-05-08,緡陽企業有限公司,kyribbon@ms16.hinet.net,已寄送,紡織廠商,
2026-05-08,金鼎聯合科技纖維股份有限公司,kms@kingsmetalfiber.com,已寄送,紡織廠商,
2026-05-08,立綺實業股份有限公司,nova.eco@nova-mg.com,已寄送,紡織廠商,
2026-05-08,弘裕企業股份有限公司,annhuang@honmyue.com.tw,已寄送,紡織廠商,
2026-05-08,金鴻興企業股份有限公司,khstw@ms26.hinet.net,已寄送,紡織廠商,
2026-05-08,台灣百和工業股份有限公司,gary.wang@paiho.com,已寄送,紡織廠商,
2026-05-08,葉群國際股份有限公司,yc561244@ms10.hinet.net,已寄送,紡織廠商,
2026-05-08,榮樹實業股份有限公司,roungshu@ms1.com.tw,已寄送,紡織廠商,
2026-05-08,立富紡織有限公司,llifu.textile@msa.hinet.net,已寄送,紡織廠商,
2026-05-08,裕源紡織股份有限公司,yuyuang@yuyuang.com.tw,已寄送,紡織廠商,
2026-05-08,光發紡織股份有限公司,kuang.fa@msa.hinet.net,已寄送,紡織廠商,
2026-05-08,集盛企業有限公司,amy@yj.-ying.com,已寄送,紡織廠商,
2026-05-08,廣聯織造有限公司,Tg579@guang-lian.com,已寄送,紡織廠商,
2026-05-08,得泰紡織有限公司,der.tai.textile@gmail.com,已寄送,紡織廠商,
2026-05-08,宏詳針織股份有限公司,hounwha@gmail.com,已寄送,紡織廠商,
2026-05-08,遠東新世紀股份有限公司,scottsu@fenc.com,已寄送,紡織廠商,
2026-05-08,台元紡織股份有限公司,star_yu@taiyuen.com,已寄送,紡織廠商,
2026-05-08,台灣新光實業股份有限公司,ccming@skco.com.tw,已寄送,紡織廠商,
2026-05-08,中國人造纖維股份有限公司,simon-liu@cmfc.com.tw,已寄送,紡織廠商,
2026-05-11,群馥實業股份有限公司,cheen.fort@msa.hinet.net,已寄送,台灣絲織公會會員名單,
2026-05-11,三新紡織股份有限公司,sanshing@colortex.com.tw,已寄送,台灣絲織公會會員名單,
2026-05-11,美全企業股份有限公司,top@meichuan.com.tw,已寄送,台灣絲織公會會員名單,
2026-05-11,美祺企業股份有限公司,royalmei@rmc.com.tw,已寄送,台灣絲織公會會員名單,
2026-05-11,雅織流行股份有限公司,artex@artex.com.tw,已寄送,台灣絲織公會會員名單,
2026-05-11,卓亞貿易有限公司,eac@eac-tw.com.tw,已寄送,台灣絲織公會會員名單,
2026-05-11,興采實業股份有限公司,sales@singtex.com,已寄送,台灣絲織公會會員名單,
2026-05-11,凱聖工業股份有限公司,Pd1@kaesheng.com.tw,已寄送,台灣絲織公會會員名單,
2026-05-11,展誠紡織科技股份有限公司,Jann.cheng@msa.hinet.net,已寄送,台灣絲織公會會員名單,
2026-05-11,峻昇實業有限公司,Yu.sheng_w@msa.hinet.net,已寄送,台灣絲織公會會員名單,
